Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
30201.73	2.71	0.22
30203.146	2.39	0.22
30205.27	2.47	0.22
30208.809	2.46	0.22
30212.348	2.37	0.22
30215.888	2.53	0.22
30219.427	2.49	0.22
30222.966	2.66	0.22
30226.506	2.31	0.22
30230.045	2.47	0.22
30233.584	2.52	0.22
30237.124	2.34	0.22
30239.247	2.28	0.22
30240.663	2.5	0.22
30244.202	2.43	0.22
30247.742	2.35	0.22
30251.281	2.43	0.22
30254.82	2.66	0.22
30258.36	2.28	0.22
30261.899	2.46	0.22
30265.438	2.41	0.22
30268.978	2.42	0.22
30272.517	2.27	0.22
30273.933	2.02	0.22
30276.056	2.23	0.22
30279.596	2.16	0.22
30283.135	2.23	0.22
30286.674	2.31	0.22
30290.213	2.29	0.22
30293.753	2.32	0.22
30297.292	2.12	0.22
30300.831	2.18	0.22
30304.371	2.04	0.22
30307.91	1.91	0.22
30309.326	2.06	0.22
30311.449	2.21	0.22
30314.989	2.34	0.22
30318.528	1.98	0.22
30322.067	2.35	0.22
30325.607	2.37	0.22
30329.146	2.33	0.22
30332.685	2.26	0.22
30336.225	2.04	0.22
30339.764	2.45	0.22
30343.303	2.33	0.22
30345.427	2.42	0.22
30346.843	2.09	0.22
30350.382	2.36	0.22
30353.921	2.22	0.22
30357.461	2.28	0.22
30358.169		0.22
30361.0	2.5	0.22
30365.235	2.64	0.22
30369.471	2.44	0.22
30373.706	2.16	0.22
30377.941	2.28	0.22
30382.176	2.25	0.22
30383.871	2.11	0.22
30386.412	2.515	0.22
30390.647	2.59	0.22
30394.882	2.66	0.22
30399.118	2.45	0.22
30403.353	2.41	0.22
30407.588	2.31	0.22
30411.824	2.21	0.22
30416.059	2.18	0.22
30420.294	2.16	0.22
30424.529	2.33	0.22
30426.224	2.34	0.22
30428.765	2.35	0.22
30433.0	2.45	0.22
30437.235	2.19	0.22
30441.471	2.2	0.22
30445.706	2.31	0.22
30449.941	2.31	0.22
30454.176	2.12	0.22
30458.412	2.32	0.22
30462.647	1.98	0.22
30466.882	2.38	0.22
30468.576	2.06	0.22
30471.118	2.52	0.22
30475.353	2.53	0.22
30479.588	2.53	0.22
30483.824	2.65	0.22
30488.059	2.41	0.22
30492.294	2.23	0.22
30496.529	2.68	0.22
30500.765	2.14	0.22
30505.0	2.15	0.22
30509.235	2.41	0.22
30510.929	2.23	0.22
30513.471	2.455	0.22
30517.706	2.47	0.22
30521.941	2.29	0.22
30526.176	2.52	0.22
30530.412	2.41	0.22
30534.647	2.28	0.22
30538.882	2.34	0.22
30543.118	2.28	0.22
30547.353	2.23	0.22
30551.588	2.23	0.22
30553.282	2.32	0.22
30555.824	2.39	0.22
30560.059	2.44	0.22
30564.294	2.61	0.22
30568.529	2.2	0.22
30572.765	2.22	0.22
30577.0	2.39	0.22
30580.11	2.06	0.22
30583.22	2.28	0.22
30586.331	1.96	0.22
30589.441	2.46	0.22
30590.685	2.33	0.22
30592.551	2.29	0.22
30595.661	2.3	0.22
30598.772	2.32	0.22
30601.882	2.75	0.22
30604.992	2.39	0.22
30608.102	2.56	0.22
30609.969	2.55	0.22
30611.213	2.04	0.22
30612.457	2.45	0.22
30614.323	2.38	0.22
30615.567	2.56	0.22
30616.811	2.29	0.22
30618.055	2.41	0.22
30619.921	2.37	0.22
30621.787	2.3899999999999997	0.22
30624.898	2.32	0.22
30628.008	2.53	0.22
30631.118	1.89	0.22
30634.228	2.33	0.22
30637.339	2.38	0.22
30640.449	2.28	0.22
30643.559	2.21	0.22
30646.669	2.05	0.22
30649.78	2.01	0.22
30652.89	1.93	0.22
30656.0	2.36	0.22
30659.283	2.04	0.22
30662.565	2.22	0.22
30665.848	2.19	0.22
30669.13	2.32	0.22
30672.413	2.53	0.22
30675.695	2.22	0.22
30678.978	2.28	0.22
30682.26	2.45	0.22
30685.543	2.44	0.22
30688.825	2.47	0.22
30692.108	2.08	0.22
30695.39	2.14	0.22
30698.673	2.43	0.22
30701.955	2.09	0.22
30705.238	1.93	0.22
30708.52	2.12	0.22
30711.803	2.22	0.22
30715.086	2.03	0.22
30718.368	1.65	0.22
30721.651	1.92	0.22
30724.933	2.12	0.22
30728.216	2.12	0.22
30731.498	2.37	0.22
30734.781	2.45	0.22
30738.063	2.23	0.22
30741.346	2.39	0.22
30744.628	2.64	0.22
30747.911	2.38	0.22
30751.193	2.22	0.22
30754.476	1.94	0.22
30757.758	2.37	0.22
30761.041	2.1	0.22
30764.323	2.12	0.22
30767.606	2.17	0.22
30770.888	2.3	0.22
30774.171	2.4	0.22
30777.454	2.27	0.22
30780.736	2.39	0.22
30784.019	2.5	0.22
30787.301	2.36	0.22
30790.584	2.37	0.22
30793.866	2.29	0.22
30797.149	2.52	0.22
30800.431	2.2	0.22
30803.714	2.31	0.22
30806.996	2.32	0.22
30810.279	2.23	0.22
30813.561	2.2	0.22
30816.844	2.17	0.22
30820.126	2.3	0.22
30823.409	2.62	0.22
30826.691	2.5	0.22
30829.974	2.17	0.22
30833.257	1.99	0.22
30836.539	2.49	0.22
30839.822	2.07	0.22
30843.104	2.37	0.22
30852.952	2.13	0.22
30856.234	2.1	0.22
30859.517	2.24	0.22
30862.799	2.03	0.22
30866.082	2.14	0.22
30869.364	2.49	0.22
30872.647	2.2	0.22
30875.929	2.5	0.22
30877.899	2.05	0.22
30879.212	2.27	0.22
30882.494	2.41	0.22
30885.777	2.42	0.22
30889.06	2.51	0.22
30892.342	2.12	0.22
30895.625	2.55	0.22
30898.907	2.5	0.22
30902.19	2.67	0.22
30905.472	2.26	0.22
30908.755	2.83	0.22
30910.724	2.23	0.22
30912.037	2.54	0.22
30914.007	2.24	0.22
30917.289	2.36	0.22
30920.572	2.42	0.22
30923.198	2.45	0.22
30923.854	2.44	0.22
30927.793	2.5	0.22
30928.45	2.5	0.22
30931.076	2.36	0.22
30933.702	2.45	0.22
30935.015	2.52	0.22
30938.297	2.3	0.22
30939.61	2.57	0.22
30942.321	2.41	0.22
30945.928	2.34	0.22
30948.814	2.32	0.22
30950.979	2.08	0.22
30952.422	2.27	0.22
30956.03	2.34	0.22
30959.637	2.18	0.22
30963.966	2.05	0.22
30966.852	2.33	0.22
30970.46	2.45	0.22
30978.396	2.42	0.22
30979.839	3.01	0.22
30982.004	2.21	0.22
30984.89	2.24	0.22
30988.497	2.2	0.22
30992.826	2.27	0.22
30996.434	2.36	0.22
31000.041	2.21	0.22
31002.927	2.21	0.22
31006.535	2.3	0.22
31010.142	2.16	0.22
31014.471	2.24	0.22
31016.636	2.04	0.22
31020.243	2.01	0.22
31024.572	1.98	0.22
31028.18	2.33	0.22
31031.066	2.16	0.22
31034.804	2.34	0.22
31035.582	2.34	0.22
31038.696	2.35	0.22
31043.365	2.21	0.22
31047.257	2.06	0.22
31050.37	1.96	0.22
31053.483	2.08	0.22
31054.261	1.95	0.22
31058.153	2.01	0.22
31062.822	1.97	0.22
31066.714	2.33	0.22
31069.827	1.94	0.22
31073.719	2.12	0.22
31074.497	2.12	0.22
31077.61	2.14	0.22
31082.28	2.17	0.22
31086.171	2.04	0.22
31089.284	2.09	0.22
31093.176	2.26	0.22
31097.067	2.22	0.22
31101.737	2.33	0.22
31105.628	2.31	0.22
31108.742	2.24	0.22
31112.633	2.1	0.22
31116.524	2.24	0.22
31121.194	2.06	0.22
31125.086	2.02	0.22
31128.199	2.16	0.22
31133.647	2.01	0.22
31137.538	2.11	0.22
31141.43	2.02	0.22
31145.321	2.31	0.22
31149.213	2.14	0.22
31153.104	2.18	0.22
31156.995	2.18	0.22
31160.887	2.16	0.22
31164.778	2.09	0.22
31168.67	2.12	0.22
31172.561	2.33	0.22
31176.453	2.48	0.22
31180.344	2.27	0.22
31184.236	2.14	0.22
31188.127	2.12	0.22
31192.018	2.26	0.22
31195.91	2.2	0.22
31199.801	2.41	0.22
31203.693	2.47	0.22
31207.584	2.23	0.22
31211.476	2.27	0.22
31215.367	2.14	0.22
31219.259	1.96	0.22
31223.15	2.02	0.22
31227.524	2.17	0.22
31231.898	2.41	0.22
31236.273	2.26	0.22
31240.647	2.26	0.22
31245.021	2.14	0.22
31249.395	2.29	0.22
31251.145	2.47	0.22
31255.519	2.33	0.22
31259.893	2.49	0.22
31264.268	2.51	0.22
31268.642	2.32	0.22
31273.016	2.38	0.22
31277.39	2.23	0.22
31281.765	2.24	0.22
31286.139	2.36	0.22
31290.513	2.36	0.22
31294.887	2.36	0.22
31299.261	2.26	0.22
31303.636	2.3	0.22
31308.01	2.28	0.22
31312.384	2.13	0.22
31315.885	2.25	0.22
31319.35	2.19	0.22
31322.814	2.1	0.22
31326.279	1.98	0.22
31329.744	1.97	0.22
31333.208	2.08	0.22
31336.673	1.75	0.22
31340.138	1.88	0.22
31343.602	1.93	0.22
31347.067	1.97	0.22
31350.532	2.09	0.22
31353.996	2.0700000000000003	0.22
31357.461	2.0	0.22
31360.926	2.3	0.22
31364.39	2.1	0.22
31367.855	2.22	0.22
31371.319	1.99	0.22
31374.784	1.96	0.22
31378.249	2.27	0.22
31381.713	2.18	0.22
31385.178	2.34	0.22
31388.643	2.38	0.22
31392.107	2.39	0.22
31395.572	2.37	0.22
31399.037	2.26	0.22
31402.501	2.19	0.22
31405.966	2.16	0.22
31408.46	2.2	0.22
31409.431	2.2	0.22
31412.895	1.97	0.22
31415.251	1.94	0.22
31416.36	2.16	0.22
31418.647	1.98	0.22
31419.825	2.0	0.22
31421.973	2.06	0.22
31423.289	2.1	0.22
31425.368	2.07	0.22
31426.754	1.93	0.22
31428.657	2.03	0.22
31430.023	2.13	0.22
31431.844	2.26	0.22
31433.275	2.07	0.22
31435.031	2.14	0.22
31436.527	2.2649999999999997	0.22
31438.153	2.0	0.22
31439.779	1.92	0.22
31442.64	1.94	0.22
31443.031	2.07	0.22
31445.762	1.86	0.22
31446.283	1.93	0.22
31448.949	1.95	0.22
31449.535	1.88	0.22
31452.136	1.86	0.22
31452.787	1.86	0.22
31455.388	2.05	0.22
31456.039	2.12	0.22
31458.64	1.91	0.22
31459.291	2.0	0.22
31461.892	2.05	0.22
31462.543	1.98	0.22
31465.144	2.07	0.22
31465.795	1.87	0.22
31468.397	1.85	0.22
31471.67	2.18	0.22
31474.944	1.93	0.22
31478.217	1.99	0.22
31481.49	2.03	0.22
31484.764	2.0	0.22
31488.037	1.93	0.22
31491.31	1.94	0.22
31494.584	2.02	0.22
31497.857	2.18	0.22
31501.13	2.23	0.22
31504.404	2.3	0.22
31507.677	2.18	0.22
31510.95	2.21	0.22
31514.224	2.28	0.22
31517.497	2.11	0.22
31520.77	2.06	0.22
31524.044	1.97	0.22
31530.59	2.02	0.22
31533.864	2.05	0.22
31537.137	2.16	0.22
31540.41	1.84	0.22
31543.684	2.17	0.22
31546.957	2.24	0.22
31550.23	2.25	0.22
31553.504	2.37	0.22
31556.777	2.12	0.22
31560.05	1.91	0.22
31563.324	2.0	0.22
31566.597	1.92	0.22
31569.87	2.15	0.22
31573.144	2.21	0.22
31576.417	1.98	0.22
31579.69	2.13	0.22
31582.964	1.92	0.22
31586.237	2.19	0.22
31589.51	2.04	0.22
31592.784	1.97	0.22
31596.057	2.15	0.22
31599.33	2.18	0.22
31602.604	2.2	0.22
31605.877	2.13	0.22
31609.15	2.02	0.22
31612.424	2.2	0.22
31615.697	1.97	0.22
31618.97	2.17	0.22
31622.244	2.32	0.22
31625.517	2.38	0.22
31628.79	2.13	0.22
31632.064	2.21	0.22
31635.337	2.22	0.22
31638.61	2.21	0.22
31641.884	2.19	0.22
31645.157	2.27	0.22
31648.43	2.12	0.22
31651.704	2.19	0.22
31654.977	2.07	0.22
31658.25	2.18	0.22
31661.524	2.42	0.22
31664.797	2.39	0.22
31668.07	2.47	0.22
31671.344	2.25	0.22
31674.617	2.37	0.22
31677.89	2.44	0.22
31681.164	2.41	0.22
31684.437	2.23	0.22
31687.71	2.18	0.22
31690.984	2.18	0.22
31694.257	2.12	0.22
31697.53	2.13	0.22
31700.804	2.01	0.22
31704.077	2.18	0.22
31707.35	2.21	0.22
31710.624	2.19	0.22
31713.626	2.1	0.22
31716.585	1.92	0.22
31719.544	2.13	0.22
31722.502	2.2	0.22
31725.461	2.1	0.22
31728.42	2.14	0.22
31731.378	2.11	0.22
31734.337	2.06	0.22
31737.295	2.15	0.22
31740.254	2.28	0.22
31743.213	2.03	0.22
31746.171	2.06	0.22
31749.13	2.19	0.22
31752.089	2.26	0.22
31755.047	2.2	0.22
31758.006	2.17	0.22
31760.964	2.21	0.22
31763.923	2.15	0.22
31766.882	2.35	0.22
31769.84	2.05	0.22
31772.799	2.15	0.22
31775.758	2.04	0.22
31778.716	2.1	0.22
31781.675	2.215	0.22
31784.633	2.19	0.22
31787.592	2.41	0.22
31790.551	2.39	0.22
31793.509	2.47	0.22
31796.468	2.25	0.22
31799.427	2.18	0.22
31802.385	2.18	0.22
31805.344	2.15	0.22
31808.302	2.18	0.22
31811.261	2.08	0.22
31814.22	2.24	0.22
31817.178	2.06	0.22
31820.137	2.03	0.22
31823.105	1.84	0.22
31826.223	2.02	0.22
31829.341	2.2	0.22
31832.459	2.22	0.22
31835.577	2.25	0.22
31838.695	2.07	0.22
31841.813	2.24	0.22
31844.931	2.22	0.22
31848.049	1.99	0.22
31851.166	1.68	0.22
31854.284	2.12	0.22
31857.402	2.04	0.22
31860.52	2.0	0.22
31863.638	2.02	0.22
31866.756	2.15	0.22
31869.874	2.05	0.22
31872.992	2.33	0.22
31876.11	2.26	0.22
31879.228	2.31	0.22
31882.346	2.45	0.22
31885.464	2.39	0.22
31891.7	2.1	0.22
31894.817	2.01	0.22
31897.935	2.03	0.22
31901.053	2.03	0.22
31904.171	2.12	0.22
31907.289	2.21	0.22
31910.407	2.43	0.22
31913.525	2.29	0.22
31916.769	2.32	0.22
31920.048	2.19	0.22
31923.328	2.25	0.22
31926.607	2.12	0.22
31929.887	2.2	0.22
31933.166	2.04	0.22
31936.446	2.18	0.22
31939.725	2.07	0.22
31943.005	2.02	0.22
31946.284	1.92	0.22
31949.564	2.03	0.22
31952.843	2.03	0.22
31956.122	2.29	0.22
31959.402	2.24	0.22
31962.681	2.33	0.22
31965.961	2.15	0.22
31969.24	2.14	0.22
31972.52	2.13	0.22
32007.282	1.96	0.22
32010.561	2.23	0.22
32013.841	2.04	0.22
32017.12	1.94	0.22
32020.4	2.13	0.22
32023.679	2.05	0.22
32026.959	1.89	0.22
32033.518	1.99	0.22
32036.797	2.06	0.22
32040.077	2.11	0.22
32043.356	2.06	0.22
32046.635	2.23	0.22
32049.915	2.24	0.22
32053.194	2.11	0.22
32056.474	1.92	0.22
32059.753	2.07	0.22
32063.033	2.01	0.22
32066.312	2.07	0.22
32069.592	1.86	0.22
32072.871	2.06	0.22
32076.151	1.94	0.22
32079.43	1.85	0.22
32082.709	1.88	0.22
32085.978	1.85	0.22
32089.245	2.07	0.22
32092.512	1.94	0.22
32095.779	2.19	0.22
32099.046	1.91	0.22
32102.313	1.78	0.22
32105.581	1.86	0.22
32108.848	2.04	0.22
32112.115	1.92	0.22
32115.382	2.2	0.22
32116.035	2.14	0.22
32118.649	1.99	0.22
32121.916	2.07	0.22
32125.183	2.03	0.22
32128.45	2.14	0.22
32131.717	2.06	0.22
32134.984	2.21	0.22
32138.251	2.24	0.22
32141.519	2.15	0.22
32144.786	2.24	0.22
32148.053	1.99	0.22
32151.32	1.86	0.22
32154.587	1.96	0.22
32157.854	2.21	0.22
32161.121	2.23	0.22
32164.388	1.95	0.22
32167.655	2.29	0.22
32170.922	2.1	0.22
32174.189	2.17	0.22
32177.457	2.1	0.22
32180.724	2.02	0.22
32183.991	1.99	0.22
32187.258	2.14	0.22
32190.525	1.75	0.22
32193.792	1.92	0.22
32197.079	1.82	0.22
32200.414	1.89	0.22
32203.749	1.83	0.22
32207.083	2.07	0.22
32210.418	2.18	0.22
32213.752	2.14	0.22
32217.087	1.83	0.22
32220.422	2.06	0.22
32223.756	2.02	0.22
32227.091	2.18	0.22
32230.425	1.98	0.22
32233.76	2.08	0.22
32237.094	2.06	0.22
32240.429	2.28	0.22
32245.764	2.53	0.22
32249.099	2.3049999999999997	0.22
32252.434	2.23	0.22
32259.77	2.11	0.22
32263.771	2.0	0.22
32267.106	2.37	0.22
32270.44	2.02	0.22
32273.775	2.27	0.22
32277.11	2.26	0.22
32280.444	2.21	0.22
32283.779	2.37	0.22
32287.78	2.2	0.22
32291.782	2.36	0.22
32295.116	2.21	0.22
32298.451	1.95	0.22
32301.786	1.85	0.22
32305.12	2.06	0.22
32309.949	1.9	0.22
32314.828	2.48	0.22
32318.893	2.08	0.22
32322.958	2.24	0.22
32327.023	2.23	0.22
32331.088	2.25	0.22
32335.153	2.07	0.22
32339.218	2.21	0.22
32343.283	2.27	0.22
32348.162	2.52	0.22
32351.414	2.34	0.22
32355.479	2.37	0.22
32359.544	2.29	0.22
32363.609	2.24	0.22
32367.674	2.34	0.22
32371.739	2.28	0.22
32375.805	2.26	0.22
32379.87	2.53	0.22
32383.935	2.1	0.22
32388.0	2.27	0.22
32392.251	2.36	0.22
32396.502	2.31	0.22
32397.352	2.46	0.22
32400.752	2.44	0.22
32405.003	2.4	0.22
32409.254	2.27	0.22
32413.505	2.31	0.22
32417.756	2.12	0.22
32422.006	2.1	0.22
32426.257	2.27	0.22
32430.508	2.24	0.22
32434.759	2.35	0.22
32439.01	2.35	0.22
32443.26	2.16	0.22
32447.511	2.28	0.22
32451.762	2.25	0.22
32456.013	2.29	0.22
32459.243	2.41	0.22
32460.264	2.16	0.22
32464.514	2.09	0.22
32464.684	2.14	0.22
32467.575	2.567	0.22
32468.765	2.33	0.22
32469.19	2.34	0.22
32472.081	2.448	0.22
32473.696	2.29	0.22
32473.866	2.21	0.22
32476.587	2.342	0.22
32478.115	2.29	0.22
32478.199	2.38	0.22
32480.637	2.38	0.22
32481.057	2.382	0.22
32482.318	2.54	0.22
32482.654	2.25	0.22
32485.512	2.271	0.22
32486.521	2.16	0.22
32487.109	2.225	0.22
32489.968	2.336	0.22
32490.724	2.2	0.22
32491.565	2.51	0.22
32494.002	2.514	0.22
32494.927	2.27	0.22
32496.02	2.38	0.22
32498.878	2.487	0.22
32499.13	2.26	0.22
32500.475	2.36	0.22
32503.333	2.374	0.22
32504.93	2.37	0.22
32507.536	2.33	0.22
32508.713	2.587	0.22
32510.814	2.38	0.22
32511.739	2.29	0.22
32515.185	2.53	0.22
32515.942	2.34	0.22
32517.623	2.36	0.22
32520.145	2.36	0.22
32521.994	2.275	0.22
32524.348	2.4	0.22
32524.432	2.38	0.22
32528.551	2.3	0.22
32528.803	2.004	0.22
32531.241	2.1	0.22
32535.612	1.906	0.22
32536.957	2.08	0.22
32538.05	2.07	0.22
32541.16	2.07	0.22
32542.421	2.347	0.22
32544.858	2.28	0.22
32545.363	2.18	0.22
32548.137	2.291	0.22
32549.566	2.2199999999999998	0.22
32553.18	2.4	0.22
32553.769	2.24	0.22
32556.711	2.385	0.22
32557.972	2.2350000000000003	0.22
32561.166	2.202	0.22
32562.175	2.3099999999999996	0.22
32565.789	2.356	0.22
32566.378	2.37	0.22
32569.992	2.249	0.22
32570.581	2.225	0.22
32572.262	2.17	0.22
32573.775	2.284	0.22
32574.784	2.23	0.22
32576.465	2.38	0.22
32578.398	2.144	0.22
32578.987	2.29	0.22
32580.668	2.16	0.22
32582.601	2.335	0.22
32583.19	2.17	0.22
32584.871	2.18	0.22
32586.384	2.097	0.22
32587.393	2.23	0.22
32589.074	1.95	0.22
32590.755	2.149	0.22
32591.787	1.94	0.22
32593.948	2.01	0.22
32596.432	2.063	0.22
32597.188	2.17	0.22
32599.349	2.42	0.22
32601.833	1.982	0.22
32602.59	2.36	0.22
32606.154	2.338	0.22
32607.991	2.33	0.22
32612.312	2.27	0.22
32616.417	2.246	0.22
32617.713	2.27	0.22
32621.278	2.479	0.22
32623.114	2.19	0.22
32626.679	2.403	0.22
32628.515	2.38	0.22
32632.08	2.394	0.22
32633.917	2.22	0.22
32637.482	2.243	0.22
32639.32	2.33	0.22
32642.886	2.434	0.22
32644.724	2.3	0.22
32648.29	2.295	0.22
32650.128	2.22	0.22
32653.694	2.152	0.22
32655.532	2.32	0.22
32659.098	2.234	0.22
32660.935	2.24	0.22
32664.502	2.273	0.22
32666.339	2.47	0.22
32669.041	2.254	0.22
32671.743	2.51	0.22
32675.058	2.32	0.22
32676.715	2.49	0.22
32679.754	2.358	0.22
32681.319	2.21	0.22
32684.358	2.357	0.22
32685.923	2.34	0.22
32688.962	2.203	0.22
32690.527	2.43	0.22
32694.487	2.628	0.22
32695.131	2.42	0.22
32698.814	2.207	0.22
32699.735	2.18	0.22
32702.774	2.445	0.22
32704.339	2.19	0.22
32707.838	2.143	0.22
32708.943	2.42	0.22
32712.442	2.345	0.22
32713.547	2.14	0.22
32717.046	2.587	0.22
32718.151	2.33	0.22
32721.19	2.361	0.22
32722.755	2.43	0.22
32725.794	2.372	0.22
32727.359	2.29	0.22
32730.858	2.163	0.22
32731.963	1.98	0.22
32735.923	2.345	0.22
32736.567	2.18	0.22
32740.066	2.409	0.22
32741.171	2.01	0.22
32744.21	2.47	0.22
32749.458	2.352	0.22
32750.379	2.38	0.22
32753.418	2.38	0.22
32758.022	2.413	0.22
32759.587	2.53	0.22
32763.086	2.507	0.22
32764.191	2.52	0.22
32767.23	2.488	0.22
32768.795	2.55	0.22
32771.834	2.313	0.22
32773.399	2.44	0.22
32778.003	2.22	0.22
32782.607	2.33	0.22
32787.211	2.41	0.22
32791.815	2.24	0.22
32794.854	2.246	0.22
32796.419	2.6	0.22
32799.458	2.551	0.22
32801.023	2.38	0.22
32804.062	2.611	0.22
32805.627	2.31	0.22
32808.666	2.292	0.22
32810.231	2.41	0.22
32813.27	2.332	0.22
32814.835	2.4	0.22
32817.874	2.427	0.22
32819.439	2.37	0.22
32822.478	2.411	0.22
32824.043	2.34	0.22
32827.082	2.374	0.22
32828.647	2.28	0.22
32831.686	2.431	0.22
32833.251	2.37	0.22
32836.382	2.521	0.22
32838.132	2.53	0.22
32841.999	2.754	0.22
32846.511	2.587	0.22
32847.8	2.47	0.22
32850.931	2.447	0.22
32852.588	2.37	0.22
32855.719	2.422	0.22
32857.468	2.3	0.22
32860.599	2.396	0.22
32865.31	2.376	0.22
32866.962	2.18	0.22
32869.917	2.414	0.22
32871.482	2.18	0.22
32874.437	2.289	0.22
32876.089	2.29	0.22
32879.045	2.439	0.22
32880.609	2.43	0.22
32883.652	2.229	0.22
32885.217	2.5	0.22
32888.172	2.26	0.22
32889.824	2.21	0.22
32892.345	2.205	0.22
32892.779	2.423	0.22
32894.344	2.27	0.22
32895.822	2.375	0.22
32896.691	2.06	0.22
32897.734	2.264	0.22
32898.951	2.23	0.22
32901.038	2.33	0.22
32902.602	2.317	0.22
32904.341	2.113	0.22
32905.384	2.22	0.22
32905.993	2.153	0.22
32908.079	2.28	0.22
32908.687	2.268	0.22
32909.731	2.53	0.22
32911.035	2.256	0.22
32912.599	2.412	0.22
32914.077	2.51	0.22
32916.076	2.39	0.22
32918.423	2.5	0.22
32921.727	2.261	0.22
32922.77	2.51	0.22
32925.639	2.568	0.22
32927.116	2.35	0.22
32929.985	2.348	0.22
32931.463	2.35	0.22
32934.331	2.477	0.22
32935.809	2.42	0.22
32939.113	2.322	0.22
32940.156	2.32	0.22
32943.459	2.257	0.22
32944.502	2.23	0.22
32947.371	2.063	0.22
32947.979	2.2699999999999996	0.22
32951.456	2.246	0.22
32956.238	2.291	0.22
32957.541	2.3	0.22
32961.888	2.32	0.22
32965.191	2.238	0.22
32966.234	2.38	0.22
32969.277	2.436	0.22
32970.581	2.28	0.22
32974.058	2.568	0.22
32974.927	2.32	0.22
32979.274	2.2	0.22
32983.012	2.263	0.22
32983.62	2.09	0.22
32986.228	2.04	0.22
32989.531	2.015	0.22
32990.574	2.08	0.22
32993.443	2.336	0.22
32994.921	2.21	0.22
32999.267	2.05	0.22
33002.31	2.299	0.22
33003.614	2.27	0.22
33006.917	2.07	0.22
33007.96	2.2	0.22
33010.568	2.19	0.22
33012.307	2.13	0.22
33015.784	2.464	0.22
33016.653	2.15	0.22
33019.522	2.516	0.22
33021.0	2.48	0.22
33024.303	2.475	0.22
33025.346	2.3	0.22
33028.215	2.459	0.22
33029.692	2.42	0.22
33032.561	2.265	0.22
33034.039	2.24	0.22
33036.908	2.498	0.22
33041.689	2.392	0.22
33042.732	2.19	0.22
33046.035	1.869	0.22
33047.078	2.22	0.22
33050.121	2.264	0.22
33051.425	2.08	0.22
33055.771	2.15	0.22
33059.074	2.372	0.22
33060.118	2.33	0.22
33062.986	2.58	0.22
33064.464	2.28	0.22
33069.038	2.17	0.22
33072.844	2.282	0.22
33074.804	2.16	0.22
33079.187	2.081	0.22
33080.571	2.04	0.22
33084.377	2.191	0.22
33086.338	2.07	0.22
33090.374	2.454	0.22
33092.105	2.12	0.22
33096.487	2.076	0.22
33097.871	2.15	0.22
33102.254	2.369	0.22
33103.638	2.19	0.22
33107.444	2.242	0.22
33109.405	2.29	0.22
33113.441	2.088	0.22
33115.171	2.21	0.22
33118.977	2.111	0.22
33120.938	2.28	0.22
33126.705	2.45	0.22
33132.471	2.32	0.22
33136.854	2.15	0.22
33138.238	2.18	0.22
33141.121	1.919	0.22
33144.005	2.32	0.22
33148.042	2.308	0.22
33149.772	2.19	0.22
33153.578	2.223	0.22
33155.538	2.41	0.22
33160.152	2.367	0.22
33161.305	2.24	0.22
33164.534	2.659	0.22
33167.072	2.4	0.22
33171.454	2.381	0.22
33172.838	2.47	0.22
33176.644	2.539	0.22
33178.605	2.39	0.22
33183.795	2.513	0.22
33184.372	2.4450000000000003	0.22
33188.408	2.238	0.22
33190.138	2.18	0.22
33194.521	2.159	0.22
33195.905	2.33	0.22
33199.711	1.719	0.22
33201.672	2.21	0.22
33206.055	2.176	0.22
33207.439	2.18	0.22
33211.245	2.288	0.22
33213.205	2.43	0.22
33217.011	2.414	0.22
33218.972	2.38	0.22
33222.778	2.261	0.22
33223.355	2.309	0.22
33224.739	2.43	0.22
33229.121	2.281	0.22
33230.505	2.27	0.22
33236.272	2.39	0.22
33240.655	2.205	0.22
33242.039	2.22	0.22
33245.845	2.33	0.22
33247.806	2.37	0.22
33252.188	2.127	0.22
33253.572	2.39	0.22
33257.378	2.451	0.22
33259.339	2.48	0.22
33262.568	2.084	0.22
33265.106	2.41	0.22
33269.29	2.31	0.22
33271.452	2.5	0.22
33276.284	2.419	0.22
33277.809	2.58	0.22
33282.006	2.494	0.22
33284.167	2.47	0.22
33289.311	2.809	0.22
33290.012	2.53	0.22
33293.316	2.503	0.22
33295.018	2.4	0.22
33298.323	2.461	0.22
33300.025	2.33	0.22
33303.33	2.296	0.22
33305.032	2.26	0.22
33310.039	2.51	0.22
33313.543	2.396	0.22
33315.045	2.53	0.22
33318.35	2.383	0.22
33320.052	2.41	0.22
33323.557	2.36	0.22
33325.059	2.5	0.22
33327.062	2.41	0.22
33330.066	2.42	0.22
33333.871	2.308	0.22
33335.072	2.26	0.22
33338.377	2.338	0.22
33340.079	2.29	0.22
33343.384	2.2	0.22
33345.086	2.31	0.22
33348.591	2.452	0.22
33350.093	2.48	0.22
33353.597	2.66	0.22
33355.099	2.49	0.22
33358.604	2.539	0.22
33360.106	2.45	0.22
33363.11	2.429	0.22
33368.417	2.43	0.22
33370.12	2.33	0.22
33373.424	2.403	0.22
33375.126	2.3	0.22
33378.431	2.557	0.22
33380.133	2.53	0.22
33382.767	2.697	0.22
33384.435	2.45	0.22
33385.951	2.51	0.22
33388.225	2.46	0.22
33389.742	2.57	0.22
33392.016	2.52	0.22
33393.532	2.41	0.22
33395.807	2.35	0.22
33397.323	2.44	0.22
33399.597	2.25	0.22
